TransactionID,OrderDate,ProductID,Product,Category,Region,Channel,Status,Quantity,UnitPriceGBP,UnitCostGBP,DiscountPct
10659,2024-01-01,P006,Chair,Furniture,Scotland,Partner,Completed,1,137.59,67.98,0.05
10096,2024-01-02,P008,Webcam,Electronics,North,Online,Cancelled,4,90.23,42.76,0.05
10322,2024-01-02,P004,Mouse,Accessories,North,Retail,Cancelled,4,27.03,12.75,0.15
10376,2024-01-02,P001,Laptop,Electronics,Midlands,Online,Completed,4,924.15,619.34,0.05
10027,2024-01-03,P007,Headset,Accessories,Wales,Retail,Completed,3,73.35,35.58,0.05
10428,2024-01-03,P001,Laptop,Electronics,Wales,Retail,Completed,1,953.54,631.77,0
10038,2024-01-04,P006,Chair,Furniture,South,Online,Completed,2,137.62,68.55,0.1
10811,2024-01-04,P007,Headset,Accessories,South,Online,Completed,2,70.64,35.2,0
10517,2024-01-05,P005,Desk,Furniture,Midlands,Online,Completed,2,272.41,159.24,0.1
10907,2024-01-05,P001,Laptop,Electronics,Midlands,Partner,Completed,2,927.06,632.01,0.05
10235,2024-01-07,P005,Desk,Furniture,North,Retail,Completed,4,277.96,156.34,0
10595,2024-01-09,P002,Monitor,Electronics,South,Retail,Completed,4,276.83,173.97,0
10305,2024-01-10,P008,Webcam,Electronics,North,Online,Cancelled,2,90.4,42.02,0.1
10346,2024-01-10,P006,Chair,Furniture,Scotland,Online,Completed,1,132.89,69.98,0
10560,2024-01-10,P001,Laptop,Electronics,South,Online,Completed,4,902.56,610.43,0
10934,2024-01-11,P002,Monitor,Electronics,North,Online,Completed,3,280.33,171.58,0.05
10336,2024-01-12,P003,Keyboard,Accessories,Wales,Online,Completed,4,48.81,26.45,0
10391,2024-01-13,P007,Headset,Accessories,Midlands,Online,Cancelled,1,73.66,35.94,0.1
10592,2024-01-15,P006,Chair,Furniture,Midlands,Online,Completed,1,137.94,67.36,0
10026,2024-01-16,P002,Monitor,Electronics,North,Online,Completed,2,294.45,168.0,0.05
10219,2024-01-20,P008,Webcam,Electronics,Midlands,Online,Completed,3,89.46,42.44,0.05
